Store Info,Costco,Irvine #454,115 Technology Drive W,"Irvine, CA 92618"
,,,,
Item Code,Item Name,Quantity,Price,Category
1824617,BODY PILLOW,2,16.99,Household
73304,CORONA EXTRA,2,21.79,Beverage
4593,KAHLUA LITER,2,21.99,Beverage
,,,,
Total Info,,,,
Subtotal,$198.56,,,
Tax,$11.10,,,
Total,$198.56,,,
Instant Savings,$16.00,,,
,,,,
Store Info,Walmart,Supercenter,26502 TOWNE CENTRE DR,"FOOTHILL RANCH, CA 92610"
,,,,
Item Code,Item Name,Quantity,Price,Category
073149283090,3DRAWER CART,4,14.77,Household
036000335940,PSE MAX,1,14.88,Household
489707455378,MS TOASTER,1,9.98,Electronics
849709024600,WASHCLOTH,5,4.78,Household
849709024590,HAND TOWEL,5,5.78,Household
817520002010,BACON,1,21.98,Food
051500720010,PEANUT BUTTER,1,7.32,Food
,,,,
Total Info,,,,
Subtotal,$314.37,,,
Discount,$27.14,,,
Tax,$22.86,,,
Total,$304.09,,,
